Pno,NoInformation_Evidence,InnocentUntilProvenGuilty,Confound,Other,GuiltMoreLikely,GuiltLessLikely
205,No,Yes,No,Yes,No,Yes
206,No,No,No,No,No,Yes
207,Yes,No,No,No,No,No
208,Yes,No,No,No,No,No
209,Yes,No,No,No,No,No
210,Yes,No,No,No,No,No
211,Yes,No,No,No,No,No
212,Yes,Yes,No,Yes,No,No
213,Yes,No,No,No,No,No
214,Yes,No,No,No,No,No
215,Yes,No,No,No,No,No
216,Yes,No,No,No,No,No
217,Yes,No,No,No,No,No
218,Yes,No,No,No,No,No
219,No,No,No,Yes,No,No
220,Yes,Yes,No,No,No,No
221,Yes,No,No,No,No,No
222,Yes,No,No,No,No,No
223,Yes,No,No,No,No,No
224,Yes,No,No,No,No,No
225,Yes,No,No,No,No,No
226,Yes,No,No,No,No,No
227,No,No,No,Yes,No,No
228,Yes,No,No,No,No,No
229,Yes,No,No,No,No,No
230,Yes,No,No,No,No,No
231,Yes,No,No,No,No,No
232,No,No,No,No,No,Yes
233,No,No,No,Yes,No,Yes
234,Yes,No,No,No,No,No
235,Yes,No,No,No,No,No
236,Yes,No,No,No,No,No
237,Yes,Yes,No,No,No,No
238,No,No,No,No,No,Yes
239,Yes,No,No,No,No,No
240,Yes,No,No,Yes,No,No
241,Yes,No,No,No,No,No
242,Yes,No,No,Yes,No,Yes
243,Yes,No,No,No,No,No
244,No,No,No,Yes,No,No
245,Yes,No,No,No,Yes,No
246,Yes,No,No,No,No,No
247,No,No,No,No,Yes,No
248,No,No,No,No,Yes,No
250,No,Yes,No,No,No,Yes
251,No,No,No,No,No,No
252,No,No,No,Yes,No,Yes
253,No,No,No,No,Yes,No
254,No,No,No,No,No,No
255,No,Yes,No,No,No,No
256,No,No,No,No,No,No
257,No,No,No,No,Yes,No
258,No,No,No,Yes,No,No
259,No,No,No,No,Yes,No
260,Yes,No,No,No,No,No
261,No,No,No,No,Yes,No
262,Yes,No,No,Yes,No,Yes
263,No,No,No,No,Yes,No
264,Yes,No,No,Yes,No,No
265,No,Yes,No,No,No,No
266,No,No,No,Yes,No,Yes
267,No,No,No,No,Yes,No
268,No,No,No,Yes,No,Yes
269,Yes,No,No,No,No,No
270,No,Yes,No,No,No,No
271,Yes,No,No,No,No,No
272,Yes,No,No,No,No,No
273,Yes,No,No,No,No,No
274,Yes,Yes,No,No,No,No
275,No,No,No,No,Yes,No
276,No,Yes,No,No,No,No
277,Yes,No,No,No,No,No
278,Yes,No,No,Yes,No,Yes
279,No,No,No,Yes,No,No
280,No,Yes,No,No,No,No
281,Yes,No,No,No,No,No
282,Yes,No,No,No,No,No
283,Yes,No,No,No,No,No
284,No,No,No,Yes,No,No
285,Yes,Yes,No,Yes,No,No
286,Yes,No,No,No,No,No
287,No,No,No,Yes,No,No
288,Yes,No,No,No,No,No
289,No,No,No,Yes,No,Yes
290,Yes,No,No,No,No,No
291,Yes,No,No,No,No,No
292,Yes,No,No,No,No,No
293,Yes,No,No,No,No,No
294,Yes,No,No,No,No,No
296,Yes,No,No,No,No,No
297,No,Yes,No,Yes,No,No
298,Yes,Yes,No,Yes,No,No
299,No,No,No,No,Yes,No
300,Yes,No,No,No,No,No
301,No,Yes,No,Yes,No,Yes
302,Yes,No,No,Yes,No,Yes
303,No,No,No,No,No,No
304,No,No,No,Yes,No,No
305,No,No,No,Yes,No,Yes
306,Yes,No,No,No,No,No
307,Yes,No,No,No,No,No
308,Yes,Yes,No,No,No,No
309,No,Yes,No,No,No,No
310,Yes,No,No,No,No,No
311,Yes,No,No,No,No,No
312,Yes,No,No,No,No,No
313,Yes,No,No,No,No,No
314,Yes,No,No,No,No,No
315,Yes,No,No,No,Yes,No
316,No,No,No,No,Yes,No
317,No,No,No,No,Yes,No
318,No,No,No,No,Yes,No
319,No,No,Yes,No,No,No
320,No,No,No,No,No,Yes
321,No,No,Yes,No,No,No
322,No,No,No,No,Yes,No
323,Yes,No,No,No,No,No
324,No,No,No,No,Yes,No
325,No,No,No,No,No,No
326,Yes,No,No,No,No,No
327,No,No,No,Yes,No,No
329,No,No,No,No,Yes,No
330,No,No,No,No,Yes,No
331,Yes,No,No,Yes,No,No
332,No,No,No,Yes,Yes,No
333,No,No,No,No,Yes,No
334,No,No,No,Yes,No,No
335,No,No,No,Yes,No,No
336,No,No,No,Yes,No,No
337,No,No,No,No,No,No
338,Yes,No,No,No,No,No
340,No,No,No,No,Yes,No
341,No,No,Yes,No,Yes,No
342,No,No,No,No,Yes,No
343,No,No,No,No,Yes,No
344,No,No,No,No,No,No
345,No,No,No,No,Yes,No
346,No,No,No,No,No,No
347,No,No,No,No,Yes,No
348,No,No,No,No,Yes,No
349,Yes,No,No,No,Yes,No
350,No,No,Yes,No,No,No
351,No,No,No,Yes,No,No
352,No,No,No,Yes,No,No
353,No,No,Yes,No,No,No
354,No,No,No,No,Yes,No
355,No,No,No,No,Yes,No
356,No,No,No,No,Yes,No
357,No,No,No,Yes,Yes,No
358,No,No,No,No,Yes,No
359,No,Yes,No,No,No,No
360,No,No,No,No,Yes,No
361,No,No,No,No,Yes,No
362,No,No,No,Yes,No,No
363,No,No,No,No,Yes,No
