Pno,Other,Confound,InnocentUntilProvenGuilty,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence
144,No,No,No,Yes,No,No
145,Yes,No,No,Yes,No,No
146,No,No,No,Yes,No,No
147,Yes,No,No,Yes,No,No
148,No,No,No,Yes,No,No
149,Yes,No,No,Yes,No,No
150,No,No,No,Yes,No,No
151,No,No,No,Yes,No,No
152,No,No,No,Yes,No,No
153,No,No,No,Yes,No,No
154,No,No,No,No,No,Yes
155,No,No,No,Yes,No,No
156,No,No,No,No,No,Yes
157,No,No,Yes,No,No,No
158,Yes,No,No,Yes,No,No
159,No,No,No,Yes,No,No
160,No,No,No,Yes,No,No
161,Yes,No,Yes,Yes,No,No
162,No,No,No,Yes,No,No
163,No,No,No,Yes,No,No
164,No,No,No,Yes,No,No
165,No,No,No,Yes,No,No
166,No,No,No,Yes,No,No
167,No,No,No,Yes,No,No
168,No,No,No,Yes,No,No
169,No,No,No,No,No,Yes
170,Yes,No,No,No,No,No
171,No,No,No,Yes,No,No
172,No,No,No,No,No,Yes
173,No,No,No,Yes,No,No
174,No,No,Yes,No,No,No
175,No,No,No,No,No,Yes
176,No,No,No,Yes,No,No
177,No,No,No,Yes,No,No
178,No,No,No,Yes,No,No
179,No,No,No,Yes,No,No
180,No,No,No,No,No,Yes
181,No,No,No,No,No,Yes
182,No,No,No,Yes,No,No
183,Yes,No,No,Yes,No,No
184,No,No,No,Yes,No,No
185,No,No,Yes,No,No,No
186,No,No,No,No,No,Yes
187,No,No,No,No,No,Yes
188,No,No,No,No,No,Yes
190,No,No,No,No,No,Yes
191,No,No,No,No,No,Yes
192,Yes,No,Yes,No,No,Yes
193,No,Yes,No,No,No,No
194,No,No,No,No,No,No
195,No,No,No,No,No,Yes
196,No,No,No,No,Yes,No
197,No,No,Yes,No,Yes,No
198,Yes,No,No,No,No,No
199,No,No,No,No,No,Yes
200,Yes,No,No,Yes,No,No
201,Yes,No,No,Yes,No,No
202,No,No,No,No,No,No
203,No,No,No,No,No,Yes
204,No,No,No,No,No,No
205,No,No,No,No,No,Yes
206,No,No,No,No,No,Yes
207,No,No,No,No,No,Yes
208,No,No,No,No,No,Yes
209,No,No,No,No,No,Yes
210,No,No,No,No,No,Yes
211,No,No,No,No,No,Yes
212,No,No,No,No,No,Yes
213,No,No,No,No,No,Yes
214,No,No,No,No,No,Yes
215,No,No,No,No,No,Yes
216,No,No,No,No,No,Yes
217,Yes,No,No,No,No,Yes
218,No,No,No,No,No,Yes
219,Yes,No,No,No,No,No
220,No,No,No,No,No,Yes
221,No,No,No,No,No,Yes
222,No,No,No,No,No,Yes
223,No,No,No,No,No,Yes
224,No,No,No,No,No,Yes
225,No,No,No,No,No,Yes
226,Yes,No,No,No,No,Yes
227,No,No,No,No,No,Yes
228,No,No,No,No,No,Yes
229,No,No,No,No,No,Yes
230,No,No,No,No,No,Yes
231,No,No,No,No,No,Yes
232,No,No,Yes,No,Yes,No
233,Yes,No,No,Yes,No,No
234,No,No,No,No,No,Yes
235,No,No,No,No,No,Yes
236,No,No,No,No,No,Yes
237,Yes,No,Yes,No,No,Yes
238,No,No,Yes,No,No,No
239,No,No,No,No,No,Yes
240,Yes,No,No,Yes,No,Yes
241,No,No,No,No,No,Yes
242,No,No,No,No,No,Yes
243,No,No,No,No,No,Yes
244,No,No,No,No,No,No
245,No,No,No,No,No,Yes
246,No,No,No,No,No,Yes
247,No,No,No,Yes,No,No
248,No,No,No,Yes,No,No
250,No,No,No,No,No,Yes
251,No,No,No,No,No,Yes
252,No,No,No,No,No,Yes
253,No,No,No,Yes,No,No
254,No,No,Yes,No,No,No
255,No,No,Yes,No,No,No
256,No,No,No,No,No,Yes
257,Yes,No,No,Yes,No,No
258,Yes,No,No,No,No,No
259,No,No,No,No,No,Yes
260,No,No,No,No,No,Yes
261,No,No,No,No,No,Yes
262,No,No,No,No,No,Yes
263,No,No,No,Yes,No,No
264,Yes,No,Yes,No,No,No
265,No,No,No,No,No,Yes
266,No,No,No,No,No,Yes
267,No,No,No,Yes,No,No
268,No,No,No,No,No,Yes
269,Yes,No,No,No,No,Yes
270,No,No,Yes,No,No,No
271,No,No,No,No,No,Yes
272,No,No,No,No,No,Yes
273,Yes,No,No,No,No,Yes
274,No,No,Yes,No,No,Yes
275,Yes,No,No,Yes,No,No
276,No,No,Yes,No,No,No
277,No,No,No,No,No,Yes
278,No,No,No,No,No,Yes
279,Yes,No,No,Yes,No,No
280,No,No,Yes,No,No,No
281,No,No,No,No,No,Yes
282,No,No,No,No,No,Yes
283,No,No,No,No,No,Yes
284,Yes,No,No,No,No,No
285,No,No,No,No,No,Yes
286,No,No,No,No,No,Yes
287,Yes,No,No,No,No,No
288,No,No,No,No,No,Yes
289,No,No,No,No,No,Yes
290,No,No,No,No,No,Yes
291,No,No,No,No,No,Yes
292,No,No,No,No,No,Yes
293,No,No,No,No,No,Yes
294,No,No,No,No,No,Yes
296,No,No,No,No,No,Yes
297,Yes,No,Yes,No,No,No
298,No,No,No,No,No,Yes
299,No,No,No,Yes,No,No
300,Yes,No,No,No,No,Yes
301,Yes,No,Yes,No,No,No
302,No,No,No,No,No,Yes
303,No,No,No,No,No,No
304,No,No,No,No,No,Yes
305,Yes,No,No,Yes,No,No
306,No,No,No,No,No,Yes
307,No,No,No,No,No,Yes
308,Yes,No,Yes,No,No,Yes
309,No,No,Yes,No,No,No
310,No,No,No,No,No,Yes
311,No,No,No,No,No,Yes
312,No,No,No,No,No,Yes
313,No,No,No,No,No,Yes
314,No,No,No,No,No,Yes
315,No,No,No,No,No,Yes
316,Yes,No,No,Yes,No,No
317,No,No,No,Yes,No,No
318,No,No,No,Yes,No,No
319,No,Yes,No,No,No,No
320,No,No,No,No,No,Yes
321,No,Yes,No,No,No,No
322,No,Yes,No,No,No,No
323,No,No,No,No,No,Yes
324,No,No,No,Yes,No,No
325,Yes,No,No,No,No,No
326,No,No,No,No,No,Yes
327,Yes,No,No,No,No,No
329,No,No,No,Yes,No,No
330,No,No,No,Yes,No,No
331,No,No,No,No,No,Yes
332,No,Yes,No,No,No,No
333,No,No,No,Yes,No,No
334,Yes,No,No,No,No,No
335,Yes,No,No,No,No,No
336,Yes,No,No,No,No,No
337,No,No,No,Yes,No,No
338,No,No,No,No,No,Yes
340,Yes,No,Yes,Yes,No,Yes
341,Yes,Yes,No,Yes,No,No
342,Yes,No,No,No,No,No
343,Yes,No,No,No,No,No
344,No,No,No,No,No,No
345,No,No,No,Yes,No,No
346,No,No,No,No,No,Yes
347,No,No,No,Yes,No,No
348,No,No,No,Yes,No,No
349,No,No,No,No,No,Yes
350,Yes,No,No,Yes,No,No
351,Yes,No,No,No,No,No
352,Yes,No,No,Yes,No,No
353,Yes,No,No,Yes,No,No
354,Yes,No,No,No,No,No
355,No,No,No,Yes,No,No
356,No,No,No,Yes,No,No
357,Yes,No,No,Yes,No,No
358,No,No,No,Yes,No,No
359,No,No,Yes,No,No,No
360,No,No,No,Yes,No,No
361,No,No,No,Yes,No,No
362,No,No,No,No,No,Yes
363,No,No,No,Yes,No,No
