Pno,Other,Confound,InnocentUntilProvenGuilty,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence
110,No,No,No,No,No,No
111,No,No,No,No,No,Yes
112,No,No,No,No,No,No
113,No,No,No,No,No,No
114,No,No,No,No,No,Yes
115,No,No,Yes,No,No,No
116,No,No,No,No,No,Yes
117,No,No,No,No,No,Yes
118,No,No,No,No,No,No
119,Yes,No,No,No,No,No
120,No,No,No,Yes,No,No
121,No,No,No,No,No,No
122,No,No,No,Yes,No,No
123,No,No,No,Yes,No,No
124,No,No,No,Yes,No,No
125,No,No,No,Yes,No,No
126,No,No,No,No,No,No
127,No,No,No,Yes,No,Yes
128,No,No,No,No,No,No
129,No,No,No,Yes,No,No
130,No,No,No,Yes,No,No
131,No,No,No,Yes,No,No
132,No,No,No,No,No,No
133,No,No,No,No,No,No
134,No,No,No,No,No,No
135,No,No,No,Yes,No,No
136,No,No,No,No,No,Yes
137,No,No,No,Yes,No,No
138,No,No,No,Yes,No,No
139,No,No,No,No,No,No
140,No,No,No,Yes,No,No
141,No,No,No,Yes,No,No
142,No,No,No,Yes,No,No
143,No,No,No,Yes,No,No
144,No,No,No,Yes,No,No
145,No,No,No,Yes,No,No
146,No,No,No,Yes,No,No
147,No,No,No,No,No,No
148,No,No,No,No,No,No
149,No,No,No,Yes,No,No
150,No,No,No,Yes,No,No
151,No,No,No,Yes,No,No
152,No,No,No,Yes,No,No
153,No,No,No,Yes,No,No
154,No,No,No,Yes,No,No
155,No,No,No,Yes,No,No
156,No,No,No,No,No,No
157,No,No,No,No,No,No
158,No,No,No,No,No,No
159,No,No,No,Yes,No,No
160,No,No,No,Yes,No,No
161,No,No,No,Yes,No,No
162,No,No,No,Yes,No,No
163,No,No,No,Yes,No,No
164,No,No,No,Yes,No,No
165,No,No,No,Yes,No,No
166,No,No,No,Yes,No,No
167,No,No,No,Yes,No,No
168,No,No,No,Yes,No,No
169,No,No,No,Yes,No,No
170,No,No,No,No,No,No
171,No,No,No,Yes,No,No
172,No,No,No,No,No,No
173,No,No,No,Yes,No,No
174,No,No,No,No,No,No
175,No,No,No,No,No,No
176,No,No,No,Yes,No,No
177,No,No,No,Yes,No,No
178,No,No,No,Yes,No,No
179,No,No,No,Yes,No,No
180,No,No,No,No,No,Yes
181,No,No,No,No,No,No
182,No,No,No,Yes,No,No
183,No,No,No,No,No,No
184,No,No,No,Yes,No,No
185,No,No,Yes,No,No,No
186,No,No,No,No,No,No
187,No,No,No,No,No,No
188,No,No,No,No,No,No
190,No,No,No,No,No,Yes
191,No,No,No,No,No,No
192,Yes,No,Yes,No,No,No
193,No,No,No,No,Yes,No
194,No,No,No,No,No,No
195,No,No,No,No,No,No
196,No,No,No,No,No,No
197,No,No,No,No,No,No
198,No,No,No,No,No,No
199,No,No,No,No,No,Yes
200,No,No,No,No,No,No
201,No,No,No,No,No,No
202,No,No,No,No,No,No
203,No,No,No,No,No,No
204,No,No,No,No,No,No
205,No,No,No,No,No,No
206,No,No,No,No,No,No
207,Yes,No,No,No,No,No
208,No,No,Yes,No,No,Yes
209,No,No,No,No,No,Yes
210,No,No,No,No,No,Yes
211,Yes,No,No,No,No,Yes
212,No,No,No,No,No,No
213,No,No,No,No,No,Yes
214,No,No,No,No,No,Yes
215,No,No,No,No,No,No
216,No,No,No,No,No,Yes
217,Yes,No,No,No,No,No
218,No,No,No,No,No,Yes
219,No,No,No,No,No,No
220,No,No,Yes,No,No,No
221,Yes,No,No,No,No,Yes
222,No,No,No,No,No,No
223,No,No,No,No,No,Yes
224,Yes,No,No,No,No,Yes
225,Yes,No,No,No,No,Yes
226,No,No,No,No,No,Yes
227,No,No,No,No,No,Yes
228,No,No,No,No,No,Yes
229,No,No,No,No,No,Yes
230,No,No,No,No,No,Yes
231,No,No,No,No,No,No
232,No,No,No,No,No,No
233,No,No,No,No,No,No
234,No,No,No,No,No,Yes
235,No,No,No,No,No,Yes
236,No,No,Yes,No,No,Yes
237,No,No,No,No,No,Yes
238,No,No,No,No,No,No
239,No,No,No,No,No,Yes
240,No,No,No,No,No,Yes
241,Yes,No,No,No,No,No
242,No,No,No,No,No,Yes
243,No,No,No,No,No,No
244,Yes,No,No,No,No,No
245,No,No,No,No,No,No
246,No,No,No,No,No,No
247,No,No,No,Yes,No,No
248,No,No,No,Yes,No,No
250,No,No,No,No,No,No
251,No,No,No,No,No,No
252,No,No,No,No,No,No
253,No,No,No,Yes,No,No
254,No,No,No,No,No,No
255,No,No,No,No,No,No
256,No,No,No,No,No,No
257,No,No,No,No,Yes,No
258,No,No,No,No,No,No
259,No,No,No,No,No,No
260,No,No,No,No,No,Yes
261,No,No,No,No,No,No
262,No,No,No,No,No,Yes
263,No,No,No,Yes,No,No
264,No,No,No,No,No,No
265,No,No,No,No,No,No
266,No,No,No,No,No,No
267,No,No,No,No,No,No
268,No,No,No,No,No,No
269,No,No,No,No,No,Yes
270,No,No,Yes,No,No,No
271,Yes,No,No,No,No,Yes
272,No,No,No,No,No,Yes
273,No,No,No,No,No,No
274,No,No,Yes,No,No,Yes
275,No,No,No,Yes,No,No
276,No,No,Yes,No,No,No
277,No,No,No,No,No,Yes
278,No,No,No,No,No,No
279,No,No,No,No,No,No
280,No,No,Yes,No,No,No
281,No,No,No,No,No,Yes
282,No,No,No,No,No,No
283,No,No,No,No,No,Yes
284,No,No,No,No,No,No
285,No,No,No,No,No,No
286,No,No,No,No,No,Yes
287,No,No,No,No,No,No
288,No,No,No,No,No,Yes
289,No,No,No,No,No,No
290,Yes,No,No,No,No,Yes
291,No,No,No,No,No,Yes
292,No,No,No,No,No,Yes
293,No,No,No,No,No,Yes
294,No,No,No,No,No,Yes
296,No,No,Yes,No,No,Yes
297,No,No,No,No,No,No
298,No,No,No,No,No,Yes
299,No,No,No,No,No,No
300,No,No,No,No,No,No
301,No,No,No,No,No,No
302,No,No,No,No,No,No
303,No,No,No,No,No,No
304,No,No,No,No,No,No
305,No,No,No,No,No,No
306,No,No,No,No,No,Yes
307,No,No,Yes,No,No,Yes
308,No,No,Yes,No,No,Yes
309,No,No,Yes,No,No,No
310,Yes,No,No,No,No,Yes
311,No,No,Yes,No,No,Yes
312,No,No,No,No,No,Yes
313,No,No,No,No,No,Yes
314,No,No,No,No,No,Yes
315,No,No,No,No,No,Yes
316,No,No,No,Yes,No,No
317,No,No,No,Yes,No,No
318,No,No,No,Yes,No,No
319,No,No,No,No,No,No
320,No,No,No,No,No,No
321,No,No,No,No,No,No
322,No,No,No,Yes,No,No
323,No,No,No,No,No,Yes
324,No,No,No,Yes,No,No
325,No,No,No,No,No,No
326,No,No,No,No,No,No
327,No,No,No,No,No,No
329,No,No,No,Yes,No,No
330,No,No,No,Yes,No,No
331,No,No,No,No,No,Yes
332,No,No,No,Yes,No,No
333,No,No,No,No,No,No
334,No,No,No,No,No,No
335,No,No,No,No,No,No
336,Yes,No,No,No,No,No
337,No,No,No,No,No,No
338,No,No,No,No,No,Yes
340,No,No,No,No,No,Yes
341,No,No,No,No,No,No
342,No,No,No,No,No,No
343,No,No,No,No,No,No
344,Yes,No,No,No,No,No
345,No,No,No,Yes,No,No
346,No,No,No,No,No,No
347,No,No,No,Yes,No,No
348,No,No,No,Yes,No,No
349,No,No,No,No,No,No
350,No,No,No,No,No,No
351,No,No,No,No,No,No
352,No,No,No,No,No,No
353,No,No,No,Yes,No,No
354,No,No,No,No,No,No
355,No,No,No,No,No,No
356,No,No,No,Yes,No,No
357,No,No,No,No,No,No
358,No,No,No,Yes,No,No
359,No,No,Yes,No,No,No
360,No,No,No,Yes,No,No
361,No,No,No,Yes,No,No
362,No,No,No,No,No,No
363,No,No,No,Yes,No,No
,Yes,No,No,No,No,No
,Yes,No,No,No,No,No
