Pno,InnocentUntilProvenGuilty,GuiltLessLikely,Other,GuiltMoreLikely,NoInformation_Evidence,Confound
315,No,No,No,No,No,No
316,No,No,No,Yes,No,No
317,No,No,No,Yes,No,No
318,No,No,No,Yes,No,No
319,No,No,No,No,No,No
320,No,No,No,No,No,No
321,No,No,No,No,No,No
322,No,No,No,Yes,No,No
323,No,No,No,No,Yes,No
324,No,No,No,Yes,No,No
325,No,No,No,No,No,No
326,No,No,No,No,No,No
327,No,No,No,No,No,No
329,No,No,No,No,No,No
330,No,No,No,Yes,No,No
331,No,No,No,No,No,No
332,No,No,No,Yes,No,No
333,No,No,No,No,No,No
334,No,No,Yes,No,No,No
335,No,No,No,No,No,No
336,No,Yes,No,No,No,No
337,No,No,No,No,No,No
338,No,No,No,No,Yes,No
340,No,No,No,No,Yes,No
341,No,No,No,No,No,No
342,No,No,No,No,No,No
343,No,No,No,No,No,No
344,No,No,Yes,No,No,No
345,No,No,No,Yes,No,No
346,No,No,No,No,No,No
347,No,No,No,Yes,No,No
348,No,No,No,Yes,No,No
349,Yes,No,No,No,No,No
350,No,No,No,No,No,No
351,No,No,No,No,No,No
352,No,No,No,No,No,No
353,No,No,No,Yes,No,No
354,No,No,No,No,No,No
355,No,No,No,No,No,No
356,No,No,No,Yes,No,No
357,No,No,No,No,No,No
358,No,No,No,Yes,No,No
359,Yes,No,No,No,No,No
360,No,No,No,Yes,No,No
361,No,No,No,Yes,No,No
362,No,No,No,No,No,No
363,No,No,No,Yes,No,No
,No,No,No,No,No,No
,No,No,No,No,No,No
