Pno,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence,InnocentUntilProvenGuilty,Confound,Other
149,No,No,No,No,No,No
150,No,Yes,No,No,No,No
151,Yes,No,No,No,No,No
152,No,No,No,No,No,Yes
153,Yes,No,No,No,No,No
154,Yes,No,No,No,No,No
155,Yes,No,No,No,No,No
156,No,No,No,No,No,Yes
157,No,No,No,No,No,No
158,No,No,No,No,No,No
159,Yes,No,No,No,No,No
160,Yes,No,No,No,No,No
161,Yes,No,No,No,No,No
162,Yes,No,No,No,No,No
163,Yes,No,No,No,No,No
164,Yes,No,No,No,No,No
165,Yes,No,No,No,No,No
166,Yes,No,No,No,No,No
167,Yes,No,No,No,No,No
168,Yes,No,No,No,No,No
169,No,No,No,No,No,No
170,No,No,No,No,No,Yes
171,Yes,No,No,No,No,No
172,No,No,No,No,No,No
173,Yes,No,No,No,No,No
174,No,No,No,No,No,No
175,No,No,No,No,No,No
176,Yes,No,No,No,No,No
177,No,No,No,No,No,No
178,Yes,No,No,No,No,No
179,Yes,No,No,No,No,No
180,No,No,No,No,No,No
181,No,No,No,No,No,No
182,Yes,No,No,No,No,No
183,No,No,No,No,No,No
184,Yes,No,No,No,No,No
185,No,No,No,Yes,No,No
186,No,No,No,No,No,No
187,No,No,No,No,No,No
188,No,No,No,No,No,No
190,No,No,No,No,No,No
191,No,No,No,No,No,No
192,No,No,Yes,Yes,No,No
193,No,No,No,No,No,Yes
194,No,No,No,No,No,Yes
195,No,No,No,No,No,No
196,No,No,No,No,No,No
197,No,No,No,No,No,No
198,No,No,No,Yes,No,No
199,No,No,Yes,No,No,No
200,No,No,No,No,No,Yes
201,No,No,No,No,No,Yes
202,No,No,No,No,No,No
203,No,No,No,No,No,No
204,No,No,No,No,No,No
205,No,No,No,No,No,No
206,No,No,No,No,No,No
207,No,No,No,No,No,No
208,No,No,Yes,Yes,No,No
209,No,No,Yes,No,No,No
210,No,No,No,No,No,Yes
211,No,No,Yes,No,No,No
212,No,No,No,No,No,No
213,No,No,Yes,No,No,No
214,No,No,Yes,No,No,No
215,No,No,No,No,No,No
216,No,No,Yes,No,No,No
217,No,No,Yes,No,No,No
218,No,No,Yes,No,No,No
219,No,No,No,No,No,No
220,No,No,No,Yes,No,No
221,No,No,Yes,No,No,No
222,No,No,No,No,No,No
223,No,No,Yes,No,No,No
224,No,No,Yes,No,No,No
225,No,No,Yes,No,No,No
226,No,No,Yes,No,No,No
227,No,No,No,No,No,Yes
228,No,No,No,Yes,No,No
229,No,No,No,No,No,No
230,No,No,Yes,No,No,No
231,No,No,No,No,No,No
232,No,No,No,No,No,No
233,No,No,No,No,No,Yes
234,No,No,Yes,No,No,No
235,No,No,Yes,No,No,No
236,No,No,Yes,No,No,No
237,No,No,Yes,No,No,No
238,No,No,No,No,No,No
239,No,No,No,Yes,No,No
240,No,No,Yes,No,No,No
241,No,No,No,No,No,Yes
242,No,No,No,No,No,No
243,No,No,No,No,No,No
244,No,No,No,No,No,Yes
245,No,No,No,No,No,No
246,No,No,No,No,No,No
247,No,No,No,No,No,No
248,No,No,No,No,No,Yes
250,No,No,No,No,No,No
251,No,No,No,No,No,No
252,No,No,No,No,No,Yes
253,Yes,No,No,No,No,No
254,No,No,No,No,No,No
255,No,No,No,No,No,No
256,No,No,No,No,No,Yes
257,No,No,No,No,No,No
258,No,No,No,No,No,Yes
259,No,No,No,No,No,No
260,No,No,Yes,No,No,No
261,No,No,No,No,No,No
262,No,No,Yes,No,No,No
263,Yes,No,No,No,No,No
264,No,No,No,No,No,No
265,No,No,No,No,No,No
266,No,No,No,No,No,No
267,No,No,No,No,No,No
268,No,No,No,No,No,No
269,No,No,No,No,No,No
270,No,No,No,Yes,No,No
271,No,No,Yes,No,No,No
272,No,No,Yes,No,No,No
273,No,No,No,No,No,No
274,No,No,Yes,Yes,No,No
275,Yes,No,No,No,No,No
276,No,No,No,Yes,No,No
277,No,No,Yes,No,No,No
278,No,No,No,Yes,No,No
279,No,No,No,No,No,No
280,No,No,No,Yes,No,No
281,No,No,Yes,No,No,No
282,No,No,No,No,No,No
283,No,No,Yes,No,No,No
284,No,No,No,No,No,No
285,No,No,No,No,No,Yes
286,No,No,Yes,No,No,No
287,No,No,No,No,No,No
288,No,No,Yes,No,No,No
289,No,No,No,No,No,Yes
290,No,No,Yes,No,No,No
291,No,No,No,No,No,Yes
292,No,No,Yes,No,No,No
293,No,No,Yes,No,No,No
294,No,No,Yes,No,No,No
296,No,No,Yes,No,No,No
297,No,No,No,No,No,Yes
298,No,No,No,No,No,No
299,No,No,No,No,No,Yes
300,No,No,No,No,No,No
301,No,No,No,Yes,No,No
302,No,No,No,No,No,No
303,No,No,No,No,No,No
304,No,No,No,No,No,No
305,No,No,No,No,No,No
306,No,No,Yes,No,No,No
307,No,No,Yes,No,No,No
308,No,No,Yes,Yes,No,No
309,No,No,No,Yes,No,No
310,No,No,Yes,No,No,No
311,No,No,Yes,No,No,No
312,No,No,Yes,No,No,No
313,No,No,Yes,No,No,No
314,No,No,Yes,No,No,No
315,No,No,No,No,No,No
316,No,No,No,No,No,No
317,Yes,No,No,No,No,No
318,Yes,No,No,No,No,No
319,No,No,No,No,No,Yes
320,No,No,No,No,No,No
321,No,No,No,No,No,Yes
322,No,No,No,No,No,Yes
323,No,No,Yes,No,No,No
324,Yes,No,No,No,No,No
325,No,No,No,No,No,Yes
326,No,No,No,No,No,No
327,No,No,No,No,No,No
329,No,No,No,No,No,Yes
330,No,No,No,No,No,Yes
331,No,No,No,No,No,No
332,Yes,No,No,No,No,No
333,No,No,No,No,No,No
334,No,No,No,No,No,Yes
335,No,No,No,No,No,Yes
336,No,No,No,No,No,Yes
337,No,No,No,No,No,No
338,No,No,Yes,No,No,No
340,No,No,Yes,No,No,No
341,No,No,No,No,No,No
342,No,No,No,No,No,Yes
343,No,No,No,No,No,Yes
344,No,No,No,No,No,Yes
345,Yes,No,No,No,No,No
346,No,No,No,No,No,No
347,Yes,No,No,No,No,No
348,Yes,No,No,No,No,No
349,No,No,No,No,No,No
350,No,No,No,No,No,Yes
351,Yes,No,No,No,No,No
352,No,No,No,No,No,Yes
353,Yes,No,No,No,No,No
354,No,No,No,No,No,Yes
355,No,No,No,No,No,No
356,Yes,No,No,No,No,No
357,No,No,No,No,No,No
358,No,No,No,No,No,No
359,No,No,No,Yes,No,No
360,No,No,No,No,No,Yes
361,No,No,No,No,No,No
362,No,No,No,No,No,Yes
363,No,No,No,No,No,No
,No,No,No,No,No,Yes
,No,No,No,No,No,Yes
