Pno,NoInformation_Evidence,InnocentUntilProvenGuilty,Confound,Other,GuiltMoreLikely,GuiltLessLikely
254,No,No,No,No,No,No
255,No,No,No,No,No,No
256,No,No,No,No,No,No
257,No,No,No,No,No,Yes
258,No,No,No,No,No,No
259,No,No,No,No,No,No
260,Yes,No,No,No,No,No
261,No,No,No,No,No,No
262,Yes,No,No,No,No,No
263,No,No,No,No,Yes,No
264,No,No,No,No,No,No
265,No,No,No,No,No,No
266,No,No,No,No,No,No
267,No,No,No,No,No,No
268,No,No,No,No,No,No
269,Yes,No,No,No,No,No
270,No,Yes,No,No,No,No
271,Yes,No,No,Yes,No,No
272,Yes,No,No,No,No,No
273,No,No,No,No,No,No
274,Yes,Yes,No,No,No,No
275,No,No,No,No,Yes,No
276,No,Yes,No,No,No,No
277,Yes,No,No,No,No,No
278,No,No,No,No,No,No
279,No,No,No,No,No,No
280,No,Yes,No,No,No,No
281,Yes,No,No,No,No,No
282,No,No,No,No,No,No
283,Yes,No,No,No,No,No
284,No,No,No,No,No,No
285,No,No,No,No,No,No
286,Yes,No,No,No,No,No
287,No,No,No,No,No,No
288,Yes,No,No,No,No,No
289,No,No,No,No,No,No
290,Yes,No,No,Yes,No,No
291,Yes,No,No,No,No,No
292,Yes,No,No,No,No,No
293,Yes,No,No,No,No,No
294,Yes,No,No,No,No,No
296,Yes,Yes,No,No,No,No
297,No,No,No,No,No,No
298,Yes,No,No,No,No,No
299,No,No,No,No,No,No
300,No,No,No,No,No,No
301,No,No,No,No,No,No
302,No,No,No,No,No,No
303,No,No,No,No,No,No
304,No,No,No,No,No,No
305,No,No,No,No,No,No
306,Yes,No,No,No,No,No
307,Yes,Yes,No,No,No,No
308,Yes,Yes,No,No,No,No
309,No,Yes,No,No,No,No
310,Yes,No,No,Yes,No,No
311,Yes,Yes,No,No,No,No
312,Yes,No,No,No,No,No
313,Yes,No,No,No,No,No
314,Yes,No,No,No,No,No
315,Yes,No,No,No,No,No
316,No,No,No,No,Yes,No
317,No,No,No,No,Yes,No
318,No,No,No,No,Yes,No
319,No,No,No,No,No,No
320,No,No,No,No,No,No
321,No,No,No,No,No,No
322,No,No,No,No,Yes,No
323,Yes,No,No,No,No,No
324,No,No,No,No,Yes,No
325,No,No,No,No,No,No
326,No,No,No,No,No,No
327,No,No,No,No,No,No
329,No,No,No,No,Yes,No
330,No,No,No,No,Yes,No
331,Yes,No,No,No,No,No
332,No,No,No,No,Yes,No
333,No,No,No,No,No,No
334,No,No,No,No,No,No
335,No,No,No,No,No,No
336,No,No,No,Yes,No,No
337,No,No,No,No,No,No
338,Yes,No,No,No,No,No
340,Yes,No,No,No,No,No
341,No,No,No,No,No,No
342,No,No,No,No,No,No
343,No,No,No,No,No,No
344,No,No,No,Yes,No,No
345,No,No,No,No,Yes,No
346,No,No,No,No,No,No
347,No,No,No,No,Yes,No
348,No,No,No,No,Yes,No
349,No,No,No,No,No,No
350,No,No,No,No,No,No
351,No,No,No,No,No,No
352,No,No,No,No,No,No
353,No,No,No,No,Yes,No
354,No,No,No,No,No,No
355,No,No,No,No,No,No
356,No,No,No,No,Yes,No
357,No,No,No,No,No,No
358,No,No,No,No,Yes,No
359,No,Yes,No,No,No,No
360,No,No,No,No,Yes,No
361,No,No,No,No,Yes,No
362,No,No,No,No,No,No
363,No,No,No,No,Yes,No
,No,No,No,Yes,No,No
,No,No,No,Yes,No,No
