Pno,Confound,Other,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence,InnocentUntilProvenGuilty
97,No,No,No,No,Yes,Yes
98,No,Yes,Yes,No,No,No
99,No,Yes,No,No,No,No
100,No,Yes,No,No,Yes,No
101,No,Yes,No,No,Yes,No
102,No,No,No,No,No,No
103,No,Yes,No,No,Yes,Yes
105,No,No,No,No,Yes,No
106,No,Yes,No,No,Yes,No
108,No,No,No,No,Yes,No
109,No,Yes,No,No,Yes,No
110,No,No,No,No,Yes,No
111,No,No,No,No,Yes,No
112,No,No,No,No,Yes,No
113,No,Yes,No,No,No,No
114,No,Yes,No,No,Yes,No
115,No,No,No,No,Yes,Yes
116,No,Yes,No,No,Yes,No
117,No,Yes,No,No,Yes,No
118,No,Yes,No,No,Yes,No
119,No,No,No,No,Yes,No
120,No,Yes,Yes,No,No,No
121,No,Yes,No,No,Yes,No
122,No,No,Yes,No,No,No
123,No,No,No,No,Yes,No
124,No,No,Yes,No,Yes,No
125,No,No,No,No,No,No
126,No,Yes,No,No,No,No
127,No,Yes,No,No,Yes,No
128,No,Yes,No,No,No,No
129,No,Yes,Yes,No,Yes,No
130,No,No,Yes,No,Yes,No
131,No,No,No,No,No,No
132,No,No,No,No,No,No
133,No,No,No,No,No,No
134,No,Yes,No,No,Yes,No
135,No,No,No,No,No,No
136,No,No,No,No,Yes,No
137,No,No,Yes,No,No,No
138,No,No,Yes,No,No,No
139,No,No,No,No,Yes,No
140,No,Yes,No,No,No,No
141,No,No,No,No,No,No
142,No,Yes,Yes,No,Yes,No
143,No,No,Yes,No,Yes,No
144,No,Yes,No,No,No,No
145,No,Yes,Yes,No,Yes,No
146,No,No,No,No,No,No
147,No,Yes,No,No,No,No
148,No,Yes,No,No,Yes,No
149,No,No,No,No,No,No
150,No,No,Yes,No,No,No
151,No,No,Yes,No,Yes,No
152,No,No,No,No,No,No
153,No,Yes,No,No,Yes,No
154,No,No,No,No,No,No
155,No,No,Yes,No,No,No
156,No,No,No,No,No,No
157,No,Yes,No,No,Yes,No
158,No,No,No,No,Yes,No
159,No,No,No,No,Yes,No
160,No,Yes,Yes,No,Yes,No
161,No,No,Yes,No,Yes,No
162,No,No,No,No,No,No
163,No,Yes,Yes,No,Yes,No
164,No,Yes,Yes,No,No,No
165,No,No,No,No,No,No
166,No,No,Yes,No,No,No
167,No,Yes,No,No,No,No
168,No,No,Yes,No,No,No
169,No,No,Yes,No,No,No
170,No,No,No,No,No,No
171,No,Yes,Yes,No,Yes,No
172,No,Yes,No,No,No,No
173,No,Yes,No,No,No,No
174,No,No,No,No,No,No
175,No,No,No,No,Yes,No
176,No,No,Yes,No,No,No
177,No,No,Yes,No,No,No
178,No,No,Yes,No,No,No
179,No,No,Yes,No,No,No
180,No,Yes,No,No,Yes,No
181,No,Yes,No,No,Yes,No
182,No,Yes,Yes,No,Yes,No
183,No,Yes,No,No,Yes,No
184,No,Yes,Yes,No,Yes,No
185,No,Yes,No,No,Yes,Yes
186,No,Yes,No,No,No,No
187,No,No,No,No,No,No
188,No,Yes,No,No,No,No
190,No,Yes,No,No,No,No
191,No,No,No,No,No,No
192,No,No,No,No,No,Yes
193,No,No,No,No,No,No
194,No,Yes,No,No,Yes,No
195,No,No,No,No,No,No
196,No,No,No,No,No,No
197,No,No,No,No,Yes,No
198,No,Yes,No,No,Yes,No
199,No,Yes,No,No,Yes,No
200,No,Yes,No,No,Yes,No
201,No,No,No,No,No,No
202,No,No,No,No,Yes,No
203,No,No,No,No,No,No
204,No,Yes,No,No,No,No
205,No,No,No,No,No,No
206,No,Yes,No,No,Yes,No
207,No,No,No,No,Yes,No
208,No,Yes,No,No,No,No
209,No,No,No,No,Yes,No
210,No,Yes,No,No,No,No
211,No,Yes,No,No,Yes,No
212,No,Yes,No,No,No,No
213,No,No,No,No,Yes,No
214,No,Yes,No,No,Yes,No
215,No,Yes,No,No,Yes,No
216,No,No,No,No,Yes,No
217,No,Yes,No,No,Yes,No
218,No,Yes,No,No,Yes,No
219,No,No,No,No,No,No
220,No,Yes,No,No,No,No
221,No,No,No,No,Yes,No
222,No,No,No,No,Yes,No
223,No,Yes,No,No,No,No
224,No,Yes,No,No,Yes,No
225,No,No,No,No,Yes,No
226,No,Yes,No,No,No,No
227,No,Yes,No,No,Yes,No
228,No,Yes,No,No,Yes,Yes
229,No,No,No,No,Yes,No
230,No,No,No,No,Yes,No
231,No,Yes,No,No,No,No
232,No,No,No,No,No,No
233,No,Yes,No,No,No,No
234,No,Yes,No,No,No,No
235,No,Yes,No,No,Yes,No
236,No,No,No,No,Yes,No
237,No,Yes,No,No,Yes,No
238,No,Yes,No,No,No,No
239,No,No,No,No,No,No
240,No,No,No,No,Yes,No
241,No,Yes,No,No,No,No
242,No,Yes,No,Yes,Yes,No
243,No,Yes,No,No,No,No
244,No,Yes,No,No,No,No
245,No,No,No,No,No,No
246,No,Yes,No,No,Yes,No
247,No,No,No,No,No,No
248,No,Yes,No,No,No,No
250,No,No,No,No,No,No
251,No,Yes,No,No,No,No
252,No,No,No,No,No,No
253,No,Yes,No,No,Yes,No
254,No,No,No,No,Yes,No
255,No,Yes,No,No,No,No
256,No,Yes,No,No,Yes,No
257,No,Yes,No,No,No,No
258,No,No,No,No,Yes,No
259,No,Yes,No,No,No,No
260,No,No,No,No,Yes,No
261,No,Yes,No,No,Yes,No
262,No,Yes,No,No,Yes,No
263,No,No,Yes,No,Yes,No
264,No,No,No,No,No,No
265,No,No,No,No,No,No
266,No,Yes,No,No,No,No
267,No,Yes,No,No,No,No
268,No,No,No,No,No,No
269,No,No,No,No,No,No
270,No,Yes,No,No,Yes,Yes
271,No,Yes,No,No,Yes,No
272,No,Yes,No,No,Yes,Yes
273,No,Yes,No,No,No,No
274,No,No,No,No,Yes,Yes
275,Yes,Yes,Yes,No,Yes,No
276,No,Yes,No,No,No,Yes
277,No,No,No,No,Yes,No
278,No,No,No,No,No,No
279,No,Yes,No,No,Yes,No
280,No,No,No,No,Yes,Yes
281,No,Yes,No,No,No,No
282,No,No,No,No,No,No
283,No,No,No,No,Yes,No
284,No,Yes,No,No,No,No
285,No,No,No,No,No,No
286,No,Yes,No,No,Yes,No
287,No,No,No,No,No,No
288,No,Yes,No,No,Yes,No
289,No,No,No,No,Yes,No
290,No,No,No,No,Yes,No
291,No,Yes,No,No,Yes,No
292,No,Yes,No,No,Yes,No
293,No,No,No,No,Yes,No
294,No,Yes,No,No,No,No
296,No,No,No,No,Yes,No
297,No,No,No,No,No,No
298,No,Yes,No,No,No,No
299,No,No,No,No,No,No
300,No,Yes,No,No,Yes,No
301,No,No,No,No,No,No
302,No,Yes,No,No,No,No
303,No,Yes,No,No,No,No
304,No,No,No,No,No,No
305,No,No,No,No,No,No
306,No,No,No,No,Yes,No
307,No,No,No,No,Yes,Yes
308,No,Yes,No,No,Yes,No
309,No,Yes,No,No,Yes,No
310,No,Yes,No,No,Yes,No
311,No,No,No,No,No,No
312,No,No,No,No,Yes,No
313,No,No,No,No,Yes,No
314,No,No,No,Yes,Yes,No
315,No,Yes,No,No,Yes,No
316,No,No,No,No,No,No
317,No,No,No,No,Yes,No
318,No,Yes,Yes,No,Yes,No
319,No,No,No,No,Yes,No
320,No,No,No,No,Yes,No
321,No,Yes,No,No,No,No
322,No,No,No,No,No,No
323,No,Yes,No,No,Yes,No
324,No,No,Yes,No,Yes,No
325,No,No,No,No,No,No
326,No,No,No,No,Yes,No
327,No,No,No,No,Yes,No
329,No,Yes,No,No,Yes,No
330,No,No,No,No,No,No
331,No,No,No,No,No,No
332,No,No,No,No,Yes,No
333,No,Yes,No,No,Yes,No
334,No,Yes,No,No,No,No
335,No,No,No,No,Yes,No
336,No,Yes,No,No,Yes,No
337,No,No,No,No,No,No
338,No,No,No,No,No,No
340,No,Yes,Yes,No,Yes,No
341,No,No,No,No,No,No
342,No,No,No,No,No,No
343,No,No,No,No,No,No
344,No,No,No,No,No,No
345,No,No,No,No,No,No
346,No,Yes,No,No,Yes,No
347,No,No,No,No,Yes,No
348,No,Yes,Yes,No,No,No
349,No,Yes,Yes,No,No,No
350,No,Yes,No,No,No,No
351,No,Yes,No,No,No,No
352,No,No,No,No,No,No
353,No,Yes,No,No,No,No
354,No,No,No,No,Yes,No
355,No,Yes,No,No,Yes,No
356,No,No,Yes,No,No,No
357,No,No,No,No,No,No
358,No,No,No,No,No,No
359,No,No,No,No,No,Yes
360,No,Yes,No,No,No,No
361,No,No,No,No,No,No
362,No,No,No,No,Yes,No
363,No,No,No,No,Yes,No
,No,Yes,No,No,Yes,No
,No,Yes,No,No,Yes,No
