Pno,Other,Confound,InnocentUntilProvenGuilty,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence
82,Yes,No,Yes,No,Yes,Yes
83,No,No,No,No,No,No
84,Yes,No,No,No,No,Yes
85,Yes,No,No,No,No,Yes
86,Yes,No,No,No,No,Yes
87,No,No,No,No,No,No
88,No,No,No,No,No,Yes
89,Yes,No,No,No,No,Yes
90,No,No,No,No,No,Yes
91,No,No,No,No,No,No
92,No,No,No,No,No,No
93,Yes,No,No,No,No,No
94,Yes,No,No,No,Yes,Yes
95,Yes,No,No,No,No,No
96,No,No,No,No,No,No
97,No,No,Yes,No,No,Yes
98,Yes,No,No,Yes,No,No
99,Yes,No,No,No,No,No
100,Yes,No,No,No,No,Yes
101,Yes,No,No,No,No,Yes
102,No,No,No,No,No,No
103,Yes,No,Yes,No,No,Yes
105,No,No,No,No,No,Yes
106,Yes,No,No,No,No,Yes
108,No,No,No,No,No,Yes
109,Yes,No,No,No,No,Yes
110,No,No,No,No,No,Yes
111,No,No,No,No,No,Yes
112,No,No,No,No,No,Yes
113,Yes,No,No,No,No,No
114,Yes,No,No,No,No,Yes
115,No,No,Yes,No,No,Yes
116,Yes,No,No,No,No,Yes
117,Yes,No,No,No,No,Yes
118,Yes,No,No,No,No,Yes
119,No,No,No,No,No,Yes
120,Yes,No,No,Yes,No,No
121,Yes,No,No,No,No,Yes
122,No,No,No,Yes,No,No
123,No,No,No,No,No,Yes
124,No,No,No,Yes,No,Yes
125,No,No,No,No,No,No
126,Yes,No,No,No,No,No
127,Yes,No,No,No,No,Yes
128,Yes,No,No,No,No,No
129,Yes,No,No,Yes,No,Yes
130,No,No,No,Yes,No,Yes
131,No,No,No,No,No,No
132,No,No,No,No,No,No
133,No,No,No,No,No,No
134,Yes,No,No,No,No,Yes
135,No,No,No,No,No,No
136,No,No,No,No,No,Yes
137,No,No,No,Yes,No,No
138,No,No,No,Yes,No,No
139,No,No,No,No,No,Yes
140,Yes,No,No,No,No,No
141,No,No,No,No,No,No
142,Yes,No,No,Yes,No,Yes
143,No,No,No,Yes,No,Yes
144,Yes,No,No,No,No,No
145,Yes,No,No,Yes,No,Yes
146,No,No,No,No,No,No
147,Yes,No,No,No,No,No
148,Yes,No,No,No,No,Yes
149,No,No,No,No,No,No
150,No,No,No,Yes,No,No
151,No,No,No,Yes,No,Yes
152,No,No,No,No,No,No
153,Yes,No,No,No,No,Yes
154,No,No,No,No,No,No
155,No,No,No,Yes,No,No
156,No,No,No,No,No,No
157,Yes,No,No,No,No,Yes
158,No,No,No,No,No,Yes
159,No,No,No,No,No,Yes
160,Yes,No,No,Yes,No,Yes
161,No,No,No,Yes,No,Yes
162,No,No,No,No,No,No
163,Yes,No,No,Yes,No,Yes
164,Yes,No,No,Yes,No,No
165,No,No,No,No,No,No
166,No,No,No,Yes,No,No
167,Yes,No,No,No,No,No
168,No,No,No,Yes,No,No
169,No,No,No,Yes,No,No
170,No,No,No,No,No,No
171,Yes,No,No,Yes,No,Yes
172,Yes,No,No,No,No,No
173,Yes,No,No,No,No,No
174,No,No,No,No,No,No
175,No,No,No,No,No,Yes
176,No,No,No,Yes,No,No
177,No,No,No,Yes,No,No
178,No,No,No,Yes,No,No
179,No,No,No,Yes,No,No
180,Yes,No,No,No,No,Yes
181,Yes,No,No,No,No,Yes
182,Yes,No,No,Yes,No,Yes
183,Yes,No,No,No,No,Yes
184,Yes,No,No,Yes,No,Yes
185,Yes,No,Yes,No,No,Yes
186,Yes,No,No,No,No,No
187,No,No,No,No,No,No
188,Yes,No,No,No,No,No
190,Yes,No,No,No,No,No
191,No,No,No,No,No,No
192,No,No,Yes,No,No,No
193,No,No,No,No,No,No
194,Yes,No,No,No,No,Yes
195,No,No,No,No,No,No
196,No,No,No,No,No,No
197,No,No,No,No,No,Yes
198,Yes,No,No,No,No,Yes
199,Yes,No,No,No,No,Yes
200,Yes,No,No,No,No,Yes
201,No,No,No,No,No,No
202,No,No,No,No,No,Yes
203,No,No,No,No,No,No
204,Yes,No,No,No,No,No
205,No,No,No,No,No,No
206,Yes,No,No,No,No,Yes
207,No,No,No,No,No,Yes
208,Yes,No,No,No,No,No
209,No,No,No,No,No,Yes
210,Yes,No,No,No,No,No
211,Yes,No,No,No,No,Yes
212,Yes,No,No,No,No,No
213,No,No,No,No,No,Yes
214,Yes,No,No,No,No,Yes
215,Yes,No,No,No,No,Yes
216,No,No,No,No,No,Yes
217,Yes,No,No,No,No,Yes
218,Yes,No,No,No,No,Yes
219,No,No,No,No,No,No
220,Yes,No,No,No,No,No
221,No,No,No,No,No,Yes
222,No,No,No,No,No,Yes
223,Yes,No,No,No,No,No
224,Yes,No,No,No,No,Yes
225,No,No,No,No,No,Yes
226,Yes,No,No,No,No,No
227,Yes,No,No,No,No,Yes
228,Yes,No,Yes,No,No,Yes
229,No,No,No,No,No,Yes
230,No,No,No,No,No,Yes
231,Yes,No,No,No,No,No
232,No,No,No,No,No,No
233,Yes,No,No,No,No,No
234,Yes,No,No,No,No,No
235,Yes,No,No,No,No,Yes
236,No,No,No,No,No,Yes
237,Yes,No,No,No,No,Yes
238,Yes,No,No,No,No,No
239,No,No,No,No,No,No
240,No,No,No,No,No,Yes
241,Yes,No,No,No,No,No
242,Yes,No,No,No,Yes,Yes
243,Yes,No,No,No,No,No
244,Yes,No,No,No,No,No
245,No,No,No,No,No,No
246,Yes,No,No,No,No,Yes
247,No,No,No,No,No,No
248,Yes,No,No,No,No,No
250,No,No,No,No,No,No
251,Yes,No,No,No,No,No
252,No,No,No,No,No,No
253,Yes,No,No,No,No,Yes
254,No,No,No,No,No,Yes
255,Yes,No,No,No,No,No
256,Yes,No,No,No,No,Yes
257,Yes,No,No,No,No,No
258,No,No,No,No,No,Yes
259,Yes,No,No,No,No,No
260,No,No,No,No,No,Yes
261,Yes,No,No,No,No,Yes
262,Yes,No,No,No,No,Yes
263,No,No,No,Yes,No,Yes
264,No,No,No,No,No,No
265,No,No,No,No,No,No
266,Yes,No,No,No,No,No
267,Yes,No,No,No,No,No
268,No,No,No,No,No,No
269,No,No,No,No,No,No
270,Yes,No,Yes,No,No,Yes
271,Yes,No,No,No,No,Yes
272,Yes,No,Yes,No,No,Yes
273,Yes,No,No,No,No,No
274,No,No,Yes,No,No,Yes
275,Yes,Yes,No,Yes,No,Yes
276,Yes,No,Yes,No,No,No
277,No,No,No,No,No,Yes
278,No,No,No,No,No,No
279,Yes,No,No,No,No,Yes
280,No,No,Yes,No,No,Yes
281,Yes,No,No,No,No,No
282,No,No,No,No,No,No
283,No,No,No,No,No,Yes
284,Yes,No,No,No,No,No
285,No,No,No,No,No,No
286,Yes,No,No,No,No,Yes
287,No,No,No,No,No,No
288,Yes,No,No,No,No,Yes
289,No,No,No,No,No,Yes
290,No,No,No,No,No,Yes
291,Yes,No,No,No,No,Yes
292,Yes,No,No,No,No,Yes
293,No,No,No,No,No,Yes
294,Yes,No,No,No,No,No
296,No,No,No,No,No,Yes
297,No,No,No,No,No,No
298,Yes,No,No,No,No,No
299,No,No,No,No,No,No
300,Yes,No,No,No,No,Yes
301,No,No,No,No,No,No
302,Yes,No,No,No,No,No
303,Yes,No,No,No,No,No
304,No,No,No,No,No,No
305,No,No,No,No,No,No
306,No,No,No,No,No,Yes
307,No,No,Yes,No,No,Yes
308,Yes,No,No,No,No,Yes
309,Yes,No,No,No,No,Yes
310,Yes,No,No,No,No,Yes
311,No,No,No,No,No,No
312,No,No,No,No,No,Yes
313,No,No,No,No,No,Yes
314,No,No,No,No,Yes,Yes
315,Yes,No,No,No,No,Yes
316,No,No,No,No,No,No
317,No,No,No,No,No,Yes
318,Yes,No,No,Yes,No,Yes
319,No,No,No,No,No,Yes
320,No,No,No,No,No,Yes
321,Yes,No,No,No,No,No
322,No,No,No,No,No,No
323,Yes,No,No,No,No,Yes
324,No,No,No,Yes,No,Yes
325,No,No,No,No,No,No
326,No,No,No,No,No,Yes
327,No,No,No,No,No,Yes
329,Yes,No,No,No,No,Yes
330,No,No,No,No,No,No
331,No,No,No,No,No,No
332,No,No,No,No,No,Yes
333,Yes,No,No,No,No,Yes
334,Yes,No,No,No,No,No
335,No,No,No,No,No,Yes
336,Yes,No,No,No,No,Yes
337,No,No,No,No,No,No
338,No,No,No,No,No,No
340,Yes,No,No,Yes,No,Yes
341,No,No,No,No,No,No
342,No,No,No,No,No,No
343,No,No,No,No,No,No
344,No,No,No,No,No,No
345,No,No,No,No,No,No
346,Yes,No,No,No,No,Yes
347,No,No,No,No,No,Yes
348,Yes,No,No,Yes,No,No
349,Yes,No,No,Yes,No,No
350,Yes,No,No,No,No,No
351,Yes,No,No,No,No,No
352,No,No,No,No,No,No
353,Yes,No,No,No,No,No
354,No,No,No,No,No,Yes
355,Yes,No,No,No,No,Yes
356,No,No,No,Yes,No,No
357,No,No,No,No,No,No
358,No,No,No,No,No,No
359,No,No,Yes,No,No,No
360,Yes,No,No,No,No,No
361,No,No,No,No,No,No
362,No,No,No,No,No,Yes
363,No,No,No,No,No,Yes
,Yes,No,No,No,No,Yes
,Yes,No,No,No,No,Yes
